,year,month,day,Date,DateTime,hora_inicio,cantidad_pasos,sentido_prov,vehiculo_liv,weekday,season,hour,holiday,non_working,time_of_day
65,2017,1,3,2017-01-03,2017-01-03 17:00:00,17,3360.0,0.42857142857142855,0.2857142857142857,Tuesday,Summer,17,0,working,evening
66,2017,1,3,2017-01-03,2017-01-03 18:00:00,18,3198.0,0.4166666666666667,0.3333333333333333,Tuesday,Summer,18,0,working,evening
67,2017,1,3,2017-01-03,2017-01-03 19:00:00,19,2213.0,0.46153846153846156,0.3076923076923077,Tuesday,Summer,19,0,working,evening
68,2017,1,3,2017-01-03,2017-01-03 20:00:00,20,1944.0,0.38461538461538464,0.3076923076923077,Tuesday,Summer,20,0,working,evening
69,2017,1,3,2017-01-03,2017-01-03 21:00:00,21,1555.0,0.42857142857142855,0.2857142857142857,Tuesday,Summer,21,0,working,evening
70,2017,1,3,2017-01-03,2017-01-03 22:00:00,22,1119.0,0.45454545454545453,0.36363636363636365,Tuesday,Summer,22,0,working,night
71,2017,1,3,2017-01-03,2017-01-03 23:00:00,23,827.0,0.42857142857142855,0.2857142857142857,Tuesday,Summer,23,0,working,night
72,2017,1,4,2017-01-04,2017-01-04 00:00:00,0,638.0,0.2222222222222222,0.4444444444444444,Wednesday,Summer,0,0,working,night
73,2017,1,4,2017-01-04,2017-01-04 01:00:00,1,428.0,0.45454545454545453,0.36363636363636365,Wednesday,Summer,1,0,working,night
74,2017,1,4,2017-01-04,2017-01-04 02:00:00,2,240.0,0.45454545454545453,0.36363636363636365,Wednesday,Summer,2,0,working,night
75,2017,1,4,2017-01-04,2017-01-04 03:00:00,3,286.0,0.4,0.4,Wednesday,Summer,3,0,working,night
76,2017,1,4,2017-01-04,2017-01-04 04:00:00,4,397.0,0.36363636363636365,0.36363636363636365,Wednesday,Summer,4,0,working,night
77,2017,1,4,2017-01-04,2017-01-04 05:00:00,5,951.0,0.36363636363636365,0.36363636363636365,Wednesday,Summer,5,0,working,night
78,2017,1,4,2017-01-04,2017-01-04 06:00:00,6,1891.0,0.35714285714285715,0.2857142857142857,Wednesday,Summer,6,0,working,night
79,2017,1,4,2017-01-04,2017-01-04 07:00:00,7,3168.0,0.4375,0.25,Wednesday,Summer,7,0,working,morning
80,2017,1,4,2017-01-04,2017-01-04 08:00:00,8,3491.0,0.46153846153846156,0.3076923076923077,Wednesday,Summer,8,0,working,morning
81,2017,1,4,2017-01-04,2017-01-04 09:00:00,9,3628.0,0.4,0.26666666666666666,Wednesday,Summer,9,0,working,morning
82,2017,1,4,2017-01-04,2017-01-04 10:00:00,10,3274.0,0.3333333333333333,0.26666666666666666,Wednesday,Summer,10,0,working,morning
83,2017,1,4,2017-01-04,2017-01-04 11:00:00,11,3170.0,0.35714285714285715,0.2857142857142857,Wednesday,Summer,11,0,working,morning
84,2017,1,4,2017-01-04,2017-01-04 12:00:00,12,3339.0,0.4117647058823529,0.23529411764705882,Wednesday,Summer,12,0,working,morning
85,2017,1,4,2017-01-04,2017-01-04 13:00:00,13,3278.0,0.4117647058823529,0.23529411764705882,Wednesday,Summer,13,0,working,afternoon
86,2017,1,4,2017-01-04,2017-01-04 14:00:00,14,3301.0,0.35714285714285715,0.2857142857142857,Wednesday,Summer,14,0,working,afternoon
87,2017,1,4,2017-01-04,2017-01-04 15:00:00,15,3269.0,0.4666666666666667,0.26666666666666666,Wednesday,Summer,15,0,working,afternoon
88,2017,1,4,2017-01-04,2017-01-04 16:00:00,16,3405.0,0.4,0.26666666666666666,Wednesday,Summer,16,0,working,evening
89,2017,1,4,2017-01-04,2017-01-04 17:00:00,17,3480.0,0.4375,0.25,Wednesday,Summer,17,0,working,evening
90,2017,1,4,2017-01-04,2017-01-04 18:00:00,18,3262.0,0.38461538461538464,0.3076923076923077,Wednesday,Summer,18,0,working,evening
91,2017,1,4,2017-01-04,2017-01-04 19:00:00,19,2442.0,0.42857142857142855,0.2857142857142857,Wednesday,Summer,19,0,working,evening
92,2017,1,4,2017-01-04,2017-01-04 20:00:00,20,2159.0,0.35714285714285715,0.2857142857142857,Wednesday,Summer,20,0,working,evening
93,2017,1,4,2017-01-04,2017-01-04 21:00:00,21,1693.0,0.46153846153846156,0.3076923076923077,Wednesday,Summer,21,0,working,evening
94,2017,1,4,2017-01-04,2017-01-04 22:00:00,22,1170.0,0.46153846153846156,0.3076923076923077,Wednesday,Summer,22,0,working,night
95,2017,1,4,2017-01-04,2017-01-04 23:00:00,23,972.0,0.5,0.4,Wednesday,Summer,23,0,working,night
96,2017,1,5,2017-01-05,2017-01-05 00:00:00,0,785.0,0.36363636363636365,0.36363636363636365,Thursday,Summer,0,0,working,night
97,2017,1,5,2017-01-05,2017-01-05 01:00:00,1,541.0,0.5,0.4,Thursday,Summer,1,0,working,night
98,2017,1,5,2017-01-05,2017-01-05 02:00:00,2,305.0,0.36363636363636365,0.36363636363636365,Thursday,Summer,2,0,working,night
99,2017,1,5,2017-01-05,2017-01-05 03:00:00,3,278.0,0.3333333333333333,0.4444444444444444,Thursday,Summer,3,0,working,night
100,2017,1,5,2017-01-05,2017-01-05 04:00:00,4,375.0,0.4444444444444444,0.4444444444444444,Thursday,Summer,4,0,working,night
101,2017,1,5,2017-01-05,2017-01-05 05:00:00,5,937.0,0.46153846153846156,0.3076923076923077,Thursday,Summer,5,0,working,night
102,2017,1,5,2017-01-05,2017-01-05 06:00:00,6,1968.0,0.35714285714285715,0.2857142857142857,Thursday,Summer,6,0,working,night
103,2017,1,5,2017-01-05,2017-01-05 07:00:00,7,3193.0,0.4,0.26666666666666666,Thursday,Summer,7,0,working,morning
104,2017,1,5,2017-01-05,2017-01-05 08:00:00,8,3596.0,0.3333333333333333,0.26666666666666666,Thursday,Summer,8,0,working,morning
105,2017,1,5,2017-01-05,2017-01-05 09:00:00,9,3688.0,0.4117647058823529,0.23529411764705882,Thursday,Summer,9,0,working,morning
106,2017,1,5,2017-01-05,2017-01-05 10:00:00,10,3720.0,0.35714285714285715,0.2857142857142857,Thursday,Summer,10,0,working,morning
107,2017,1,5,2017-01-05,2017-01-05 11:00:00,11,3395.0,0.3333333333333333,0.26666666666666666,Thursday,Summer,11,0,working,morning
108,2017,1,5,2017-01-05,2017-01-05 12:00:00,12,3447.0,0.38461538461538464,0.3076923076923077,Thursday,Summer,12,0,working,morning
109,2017,1,5,2017-01-05,2017-01-05 13:00:00,13,3496.0,0.4117647058823529,0.23529411764705882,Thursday,Summer,13,0,working,afternoon
110,2017,1,5,2017-01-05,2017-01-05 14:00:00,14,3503.0,0.5,0.2857142857142857,Thursday,Summer,14,0,working,afternoon
111,2017,1,5,2017-01-05,2017-01-05 15:00:00,15,3682.0,0.3076923076923077,0.3076923076923077,Thursday,Summer,15,0,working,afternoon
112,2017,1,5,2017-01-05,2017-01-05 16:00:00,16,3614.0,0.42857142857142855,0.2857142857142857,Thursday,Summer,16,0,working,evening
113,2017,1,5,2017-01-05,2017-01-05 17:00:00,17,3672.0,0.42857142857142855,0.2857142857142857,Thursday,Summer,17,0,working,evening
114,2017,1,5,2017-01-05,2017-01-05 18:00:00,18,3578.0,0.4,0.26666666666666666,Thursday,Summer,18,0,working,evening
115,2017,1,5,2017-01-05,2017-01-05 19:00:00,19,2477.0,0.38461538461538464,0.3076923076923077,Thursday,Summer,19,0,working,evening
116,2017,1,5,2017-01-05,2017-01-05 20:00:00,20,2163.0,0.35714285714285715,0.2857142857142857,Thursday,Summer,20,0,working,evening
117,2017,1,5,2017-01-05,2017-01-05 21:00:00,21,1829.0,0.4166666666666667,0.3333333333333333,Thursday,Summer,21,0,working,evening
118,2017,1,5,2017-01-05,2017-01-05 22:00:00,22,1276.0,0.42857142857142855,0.2857142857142857,Thursday,Summer,22,0,working,night
119,2017,1,5,2017-01-05,2017-01-05 23:00:00,23,968.0,0.25,0.3333333333333333,Thursday,Summer,23,0,working,night
120,2017,1,6,2017-01-06,2017-01-06 00:00:00,0,754.0,0.38461538461538464,0.3076923076923077,Friday,Summer,0,0,working,night
121,2017,1,6,2017-01-06,2017-01-06 01:00:00,1,532.0,0.4166666666666667,0.3333333333333333,Friday,Summer,1,0,working,night
